id,name,type,latitude,longitude,capacity,operating_hours,features
f1000000-0000-0000-0000-000000000001,푸드스퀘어 한식관,cafeteria,37.3185,126.8115,150,"{""weekday"":""11:00-20:00"",""weekend"":""11:00-14:00""}","{""has_vegetarian"":true,""average_price"":7500}"
f1000000-0000-0000-0000-000000000002,Indu 뷔페 식당,cafeteria,37.3202,126.8141,200,"{""weekday"":""11:30-19:00"",""weekend"":""closed""}","{""buffet_style"":true,""average_price"":8000}"
f1000000-0000-0000-0000-000000000003,단지내 중식당 화성,cafeteria,37.3215,126.8098,80,"{""weekday"":""11:00-21:00"",""weekend"":""11:00-15:00""}","{""has_delivery"":true,""average_price"":9000}"
f1000000-0000-0000-0000-000000000004,밀스밀 간편식 코너,cafeteria,37.3171,126.8152,50,"{""weekday"":""08:00-22:00"",""weekend"":""09:00-18:00""}","{""sandwich_bar"":true,""average_price"":5500}"
f1000000-0000-0000-0000-000000000005,산단 남부 한식뷔페,cafeteria,37.3230,126.8120,180,"{""weekday"":""11:00-18:30"",""weekend"":""closed""}","{""buffet_style"":true,""average_price"":7000}"
f1000000-0000-0000-0000-000000000006,글로벌 푸드코트 A관,cafeteria,37.3178,126.8102,120,"{""weekday"":""10:30-20:30"",""weekend"":""11:00-15:00""}","{""multi_cuisine"":true,""average_price"":8500}"
f1000000-0000-0000-0000-000000000007,스마트밸리 도시락 카페,cafeteria,37.3198,126.8168,40,"{""weekday"":""07:30-19:00"",""weekend"":""closed""}","{""takeout_only"":true,""average_price"":6000}"
f1000000-0000-0000-0000-000000000008,동부 근로자 식당,cafeteria,37.3222,126.8160,160,"{""weekday"":""11:00-19:30"",""weekend"":""11:00-14:00""}","{""has_vegetarian"":true,""average_price"":6500}"
f1000000-0000-0000-0000-000000000009,테크노 그릴 하우스,cafeteria,37.3160,126.8130,90,"{""weekday"":""11:30-21:00"",""weekend"":""12:00-18:00""}","{""grill_menu"":true,""average_price"":11000}"
f1000000-0000-0000-0000-000000000010,혁신센터 지하 구내식당,cafeteria,37.3208,126.8088,250,"{""weekday"":""07:00-20:00"",""weekend"":""closed""}","{""buffet_style"":true,""has_vegetarian"":true,""average_price"":6000}"
f2000000-0000-0000-0000-000000000001,중앙 주차타워 A동,parking,37.3195,126.8130,400,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":true}"
f2000000-0000-0000-0000-000000000002,지상 남부 주차장,parking,37.3242,126.8105,250,"{""24_7"":true}","{""has_ev_charger"":false,""indoor"":false}"
f2000000-0000-0000-0000-000000000003,서부 복합주차장 B,parking,37.3160,126.8085,300,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":true}"
f2000000-0000-0000-0000-000000000004,동부 지하주차장 C,parking,37.3218,126.8162,350,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":true}"
f2000000-0000-0000-0000-000000000005,북부 노상주차장 D,parking,37.3255,126.8118,180,"{""weekday"":""06:00-22:00"",""weekend"":""08:00-20:00""}","{""has_ev_charger"":false,""indoor"":false}"
f2000000-0000-0000-0000-000000000006,혁신센터 지하주차장,parking,37.3207,126.8092,500,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":true,""valet"":true}"
f2000000-0000-0000-0000-000000000007,스마트밸리 P1 주차장,parking,37.3183,126.8145,220,"{""24_7"":true}","{""has_ev_charger"":false,""indoor"":false}"
f2000000-0000-0000-0000-000000000008,테크노타워 전용주차장,parking,37.3225,126.8138,150,"{""weekday"":""07:00-21:00"",""weekend"":""closed""}","{""has_ev_charger"":true,""indoor"":true,""reserved_only"":true}"
f2000000-0000-0000-0000-000000000009,산단 중앙광장 공용주차장,parking,37.3200,126.8110,600,"{""24_7"":true}","{""has_ev_charger"":true,""indoor"":false}"
f2000000-0000-0000-0000-000000000010,남서부 화물차 전용주차장,parking,37.3148,126.8078,80,"{""24_7"":true}","{""truck_only"":true,""has_ev_charger"":false,""indoor"":false}"
f3000000-0000-0000-0000-000000000001,본관 1층 컨퍼런스룸 101,meeting_room,37.3190,126.8125,30,"{""weekday"":""09:00-18:00"",""weekend"":""closed""}","{""has_beam_projector"":true,""has_video_conf"":true}"
f3000000-0000-0000-0000-000000000002,혁신센터 스마트회의실 B,meeting_room,37.3208,126.8155,12,"{""weekday"":""08:00-20:00"",""weekend"":""09:00-18:00""}","{""has_beam_projector"":true,""whiteboard"":true}"
f3000000-0000-0000-0000-000000000003,지원동 소회의실 203,meeting_room,37.3175,126.8102,8,"{""weekday"":""09:00-18:00"",""weekend"":""closed""}","{""whiteboard"":true}"
f3000000-0000-0000-0000-000000000004,테크노타워 다목적홀 C,meeting_room,37.3225,126.8138,60,"{""weekday"":""09:00-22:00"",""weekend"":""09:00-18:00""}","{""has_beam_projector"":true,""has_audio_system"":true}"
f3000000-0000-0000-0000-000000000005,본관 2층 세미나실 A,meeting_room,37.3192,126.8128,45,"{""weekday"":""09:00-18:00"",""weekend"":""closed""}","{""has_beam_projector"":true,""has_video_conf"":true,""has_audio_system"":true}"
f3000000-0000-0000-0000-000000000006,동부 스타트업 허브 미팅룸,meeting_room,37.3220,126.8165,6,"{""weekday"":""08:00-22:00"",""weekend"":""10:00-17:00""}","{""whiteboard"":true,""standing_desk"":true}"
f3000000-0000-0000-0000-000000000007,북부 교육센터 강의실 301,meeting_room,37.3250,126.8125,80,"{""weekday"":""09:00-21:00"",""weekend"":""closed""}","{""has_beam_projector"":true,""has_audio_system"":true,""tiered_seating"":true}"
f3000000-0000-0000-0000-000000000008,산학협력관 공동연구실,meeting_room,37.3238,126.8148,20,"{""weekday"":""09:00-18:00"",""weekend"":""closed""}","{""has_video_conf"":true,""lab_equipment"":true}"
f3000000-0000-0000-0000-000000000009,서부 지원센터 상담실 102,meeting_room,37.3165,126.8088,4,"{""weekday"":""09:00-17:00"",""weekend"":""closed""}","{""soundproof"":true}"
f3000000-0000-0000-0000-000000000010,중앙관리동 VIP 회의실,meeting_room,37.3200,126.8115,16,"{""weekday"":""09:00-18:00"",""weekend"":""closed""}","{""has_beam_projector"":true,""has_video_conf"":true,""premium_interior"":true}"
f4000000-0000-0000-0000-000000000001,북부 종합 물류하역장 D-1,loading_dock,37.3250,126.8145,10,"{""24_7"":true}","{""max_tonnage"":15,""has_forklift"":true}"
f4000000-0000-0000-0000-000000000002,남부 컨테이너 하역장 E-2,loading_dock,37.3150,126.8110,6,"{""24_7"":true}","{""max_tonnage"":25,""has_forklift"":true}"
f4000000-0000-0000-0000-000000000003,동부 소형화물 하역장 F-1,loading_dock,37.3215,126.8170,8,"{""weekday"":""06:00-22:00"",""weekend"":""08:00-18:00""}","{""max_tonnage"":5,""has_forklift"":false}"
f4000000-0000-0000-0000-000000000004,서부 냉동냉장 전용 하역장,loading_dock,37.3158,126.8075,4,"{""24_7"":true}","{""max_tonnage"":10,""has_forklift"":true,""refrigerated"":true}"
f4000000-0000-0000-0000-000000000005,중앙 택배물류 집하장,loading_dock,37.3198,126.8100,12,"{""weekday"":""07:00-20:00"",""weekend"":""09:00-15:00""}","{""max_tonnage"":3,""has_forklift"":false,""parcel_sorting"":true}"
f4000000-0000-0000-0000-000000000006,북서부 벌크화물 하역장 G,loading_dock,37.3245,126.8080,5,"{""24_7"":true}","{""max_tonnage"":30,""has_forklift"":true,""crane"":true}"
f4000000-0000-0000-0000-000000000007,산단 입구 반입검수장,loading_dock,37.3140,126.8125,3,"{""weekday"":""08:00-18:00"",""weekend"":""closed""}","{""max_tonnage"":8,""has_forklift"":false,""inspection_required"":true}"
f4000000-0000-0000-0000-000000000008,동부 원자재 입고 하역장,loading_dock,37.3228,126.8172,7,"{""24_7"":true}","{""max_tonnage"":20,""has_forklift"":true,""hazmat_certified"":true}"
f4000000-0000-0000-0000-000000000009,남부 완제품 출고 하역장,loading_dock,37.3145,126.8098,9,"{""weekday"":""06:00-23:00"",""weekend"":""08:00-20:00""}","{""max_tonnage"":18,""has_forklift"":true}"
f4000000-0000-0000-0000-000000000010,혁신센터 시료배송 도크,loading_dock,37.3210,126.8090,2,"{""weekday"":""09:00-17:00"",""weekend"":""closed""}","{""max_tonnage"":1,""has_forklift"":false,""sample_handling"":true}"
